id;descripcion;precio_habitual;precio_rebajado;link
1;Buckinghamshire;18504;30631;"Server application generated successfully>"
2;Naira Customer Personal Loan Account;88743;70645;"Server application generated successfullyr"
3;intranet Personal Loan Account;75334;53048;"Server application generated successfully@"
4;Australian Dollar;1956;1872;"Server application generated successfully+"
5;parsing;42991;16264;"Server application generated successfullyR"
6;orchid payment;36247;12943;"Server application generated successfully^"
7;Uganda West Virginia;37087;50167;"Server application generated successfullyq"
8;unleash Home Loan Account Marshall Islands;88679;799;"Server application generated successfullyo"
9;Mouse;70804;97462;"Server application generated successfully|"
10;payment;61728;78298;"Server application generated successfully{"
